sentiment,text
positive,"whaa you really should and are definitely optional though i liked them but i m also crazy"
negative,"there s very few film tv jobs especially in wmids and i can t afford to move away yet sorry i missed you on"
positive,"elj appreciated uni email is helpful"
neutral,"thinking my fridge may be dieing please not this week pleeeeeassseee"
neutral,"yeah quite a few kids in my school got swine flu they only close down the school if its kids or more"
neutral,"twice in a week qantas club lounge computers broken flyertalk"
neutral,"it s almost past time to go to bed"
negative,"choked on her retainers"
neutral,"auto resolve is that a geek tech answer to most questions"
neutral,"oh i see my grandparents were from ilocos as well but they moved to nueva ecija"
negative,"why are cds in hmv so overpriced for i hate having no money"
neutral,"i feel sick and i have a solo tonight at my vocal jazz concert great"
neutral,"the sing store won t work"
neutral,"gots my beathing suit that i ordered from victoia s secret but i have to exchange the bottoms so i have to wait another weeks"
positive,"download movie ben alien force tinyurl com czbb cool movie"
positive,"yeah i ve been there my son is two so we go to only the kid friendly places now congrats on the baby"
neutral,"graveyard charged my card twice one correct total one random amt from last night s tweetup check your accounts"
neutral,"drinkin chai tea and not sleeping and checkin out some cool peeps"
neutral,"i actually meant to type end of september but i was in the middle of a conversation with someone and i cant multitask"
positive,"had a great talk with tony this afternoon we re going to give it another go"
positive,"happy mother s day to all the moms if you re an awesome mom you ll help savechuck"
negative,"ghhh went an hour earlier to bed thinking ill get an area hr of sleep woke up an hr earlier today is gonna be a looooong one again"
positive,"ooooh i have a headache got to go to work now"
positive,"its fun though"
negative,"hate i am going to miss the tweet up this weekend"
neutral,"hahahaha awww uduhn lun me no mor"
neutral,"thanks dude being a low level business man its hard to get normal credit cards also our place is not listed with any bank"
positive,"noooo thehannabeth i have a crush"
neutral,"i think he meant this pic i don t know what other one he might have seen but really this is as hot as it gets"
positive,"hi to all my friends and ummm thanks for the follow and enjoy the ride if i make too many trips i will for u and u gotta go i get it"
neutral,"that s two and a half hours completed now chillaxing until half"
negative,"my dog is suffering from abandonment issues she thinks i m moving without her"
negative,"someone save me from boredom"
negative,"the new tecas driver license design is ugly"
positive,"happy mothers day mum"
neutral,"the is definitely going sold the and f is too heavy think i ll get away with the twedding"
positive,"woke up after about hours of sleep feeling better now"
positive,"i m back on long island today after spending the weekend in manchester vt hope you have a great week ahead"
neutral,"grass mowed i can haz playtime now no says we have errands to run"
neutral,"now i feel left out all alone in az lol"
neutral,"amy did u already check out the antics of parella and marcia news and entertainment on twitter"
neutral,"one more day baby"
negative,"just took my best friend of years how well you know katie outzen quiz and failed how does that happen its just so sad"
positive,"engaged may st to the best guy i could not be happier i love you jay"
negative,"just finished cleaning the bathroom now i smell like clorox"
positive,"hugs to you for not being able to shag crush anymore x"
negative,"they don t use msn either i don t think and they are thousands of miles away so can t do it face to face"
neutral,"has opted to strike may th altaf bhai to unveil what really happened in tinyurl com cehq"
positive,"yea i was about to call you shallow but you saved yourself by saying he makes good music"
neutral,"i have nothing to do"
neutral,"no dayuuum o clock was better"
neutral,"anytime from now on lol i m just reading and stuffs"
neutral,"watching gross point blank"
negative,"anyway can t take this no longer or my mind will blow off"
neutral,"at work full of weekend vengaboys zane lowe wolf from gladiators memories"
positive,"thanks"
positive,"playing with my puppy"
negative,"i m too tired"
positive,"goooood morning melody wishing you a wonderful mother s day with your family"
neutral,"at the grove just watched star trek grabbing some food"
neutral,"do you ever sleep"
positive,"i know i m so excited for them"
positive,"love your new avatar"
negative,"what the it s only oh my god my internal clock really is up nooooo"
neutral,"twitpic com p well done guys i am gonna miss the tweets"
negative,"just lost internet and i was in a raid for os"
neutral,"i still have another hour"
neutral,"right"
positive,"wooooo the tour has started yay days have an awesome time loved the video xd"
negative,"sigh me miss them days"
neutral,"just up the longest lie in a while thank goodness neck still painful but today i am going to head out y"
positive,"just watched camp rock eating raspberry ripple icecream awesome"
neutral,"shower time"
positive,"gotta get ready to leave alec and i are going hunting outside of volterra this should be fun talk to everyone later"
negative,"sore from ultimate trying to figure out how to pay for school next semester"
neutral,"i was going to visit my sister today but she s grumpy i ll just chill at home with the family and visit her tomorrow"
neutral,"i assume nobody uses portableapps anymore except for myself in that case forget what i said earlier"
positive,"hey wanda great to tweet with u and many thx for the info re dobro and what a fantastic sound son house is a fav of mine"
negative,"died again in kp gonna upgrade some of my spells now first before heading back there eq"
positive,"driving fast is so much fun i went in a hahaha goodnight"
neutral,"time diff and i ve just been wrapped up in day to day stuff so i havent been tweeting talk soon must sleep up in hrs"
negative,"taking the caltrain to go see the giants it s cold and someone smells like pee"
negative,"music im always blunt with my feelings never seems to do any good"
positive,"happy mother s day to all you moms out there"
neutral,"damm it i didn t get a pic of niamh with her d glasses on"
negative,"is trying so hard to not worry and be at peace despite her circumstances but wonders why some christians are the ones making it so hard"
neutral,"yeah not meant to be"
neutral,"that s not good to hear i hope everything is fine i will keep you your family in prayer i love you isabela uribe"
negative,"you ipod for freezing when i need you most"
neutral,"hi my love im ok just trying to get thru these finals they re going to be the death of me how are you"
neutral,"yeah i kno i m tryna change it bac but its not lettin meeee"
positive,"rode a jeep home with my mentor heard his story being in up finearts pretty cool"
neutral,"ahhh lincoln i ll run see you in hours"
neutral,"math quiz if meow but allergies then meow allergies"
negative,"and now i have to shut computer down and get ready to go home from work what a bummer"
negative,"i fought jered to the death to avoid a wet willy but he got me anyway q is coming over bike ride"
negative,"i wanna buy a million copies but i aint that rich just buy some more copies urself hahah"
neutral,"my shoes taken off and my slippers put on my feet"
positive,"nice weather today in alex"
positive,"congratulations on the test"
neutral,"adding comments for my friends want sum"
neutral,"just enjoyed steak quesadillas kinda mad cause i m gonna miss the laker game"
positive,"briliant may the fourth be with you starwars"
negative,"i get bit by ticks all the time i eat a ton of garlic in the summer to keep them and mosquitoes away boo o"
negative,"i cant stand summer fever for me and when the weather gets really humid lol"
neutral,"needs words for part then freedom until another few assignments and exams"
positive,"thanks to all the new followers well i went to a tonight and its am so i ll follow you tomorrow much love"
neutral,"sweet booth at newport but all the people are outside post ly heb"
positive,"working my off and i am completely happy"
negative,"sad but true i shouldnt right"
neutral,"word"
neutral,"u should tell ppl where u ll be in vancouver"
negative,"dude fail i know exactly where this place is too"
negative,"why no sn o yeah sad day"
positive,"laying in bed texting good night ya ll"
neutral,"i aint got no money to buy any cred to call u and am in london"
neutral,"you should do an for the safesex topic"
positive,"hope our wishes come true someday"
negative,"bbc malaria parasites becoming resistant to drugs trunc it yn this is really not good as malaria affects so many people"
positive,"beach yummy steak and catching up on lost with my man lovely day"
positive,"thanks lovely will let you know when its up and ready the baby havs are gorgeous i want something to put in them x"
positive,"having a wonderful piece of cake for lunch what else could i want"
negative,"so booooored i learned this though"
positive,"many many thanks it s about school weeeee"
negative,"month end still stuck in my office waiting for the stragglers to get there stogether"
negative,"ouch i can t even look at that one just knowing it exists it enough for me"
positive,"uh oh hope nothing too damaged"
negative,"oh dear i take back my request i get so drunk on fizz and i def do regret it the next day sure fired hangover"
negative,"ugh blisters on both my big toes and on both my legs and my shoulders are raw as my life sucks right now"
positive,"it s like triple what i ve got so it s a lot to me as well well done"
neutral,"oooo look who got a pic so much for swimming today"
positive,"i have a great house to sell you comes complete with a riding mower"
negative,"bears beets and never mind how about sg take out and wasabi vodka with ginger ale and lime"
negative,"pc i agree we have a problem we must stop spending and only work"
positive,"do you know what i have a good little life and i love it"
neutral,"my husband just went fishing how come knitting keeps you at home i need a lady hobby that lets me get out of cooking"
neutral,"making a milo"
positive,"sewing things is nice i feel crafty and productive and foxy"
positive,"oooooooh i kno eeeeeeekkkkkkk rocks"
negative,"so i have like no more friends it s kinda sad"
positive,"oh jordan i m ready for the next contest baby can t wait kisses from brazil i love you"
positive,"congrats on graduating college"
neutral,"how do you twitter"
neutral,"freaking out a bit crossing my fingers that things will work out ok"
positive,"big hug for you"
positive,"watching shows i missed on the ellipital love my on demand"
negative,"everyone on the eastcoast the rain hates us let s just all fly to cali lol"
positive,"congratulations daddy"
negative,"why do i even bother anymore everyone is makin me feel like im a waste of space"
positive,"and happy mothers day to all you moms out there i hope you had a good day"
neutral,"at the house home alone playing guitar some guitar hero loud"
positive,"enjoying and exploring my n phone grr it s awesome but i wanted the samsung omnia"
neutral,"today i m working on my quirky q cue or maybe it will become a concerto"
positive,"lmao joey is mine i cant wait to meet them in july"
positive,"congrats so proud of you girl"
positive,"the i saved on not buying a couch is going towards paying my visit to er for uti"
negative,"i have a farmers sunburn ahhhh"
negative,"i dont think my twitpic is working"
negative,"mmmm now you re speaking my language unfortunately in militant diet mode am seriously thinking of competiton so no tb i guess"
neutral,"haha just overheard on the us yrold to mom mom i think i should learn to read today"
neutral,"eom still at work"
neutral,"coraline was scary yesterday didn t puke luckily ahaa week day till i m baby"
negative,"liam peed in the potty"
neutral,"what up world im just chillin bout to go get this money but in this economy no money is easy money anymore"
neutral,"hanging out with ambyr"
neutral,"so it s friday i have to keep reminding myself since every day seems the same"
negative,"alright you missed one crazy party last night"
neutral,"why have people stopped following me is it something i said"
neutral,"mornin"
neutral,"but im not complaining"
neutral,"nope difference of omr for c class anyone notice the flight number for wy s flight for lhr wy"
neutral,"how about i make some more and bring u sum"
neutral,"live live or leaked live if it s live properly i may just role outta bed and download it"
positive,"happy mother s day sent msg to mom and got her phone call i wish one day we can live in the same city so i can take care of her"
positive,"saw it yesterday pretty good"
neutral,"z i cant even think about anything that smells like alochol lol"
positive,"that s what s up hah i m great thanks just waiting for all the craziness to take off"
neutral,"i m in traffic on the and i still don t see the sun"
neutral,"princecharming"
negative,"homework borriing"
neutral,"i didnt get his tweet"
negative,"i m kicking it though feeling a little sick alternating talking to friends gaming watching the playoffs and writing an application"
neutral,"environmental project"
positive,"picture to burn taylor swift great song"
negative,"so bored miss everybody already"
neutral,"i know it wasn t going to be there but i check eztv for the office torrent"
negative,"is going to miss seeing everyone all the time"
negative,"hahahahhahaha it was true and i could really stretch out and stuff shame rem s dog got mad when i tried to put him in avi s face"
neutral,"have someone help you with the makeup you gots to go out looking fine and have another shot"
positive,"its cool im glad everyone had a nice date night maybe one day ill get one too"
neutral,"hmv opens in half an our better go get ready"
negative,"ugh tis so warm outside too unfair i want to go read and pack"
neutral,"i d rather be at instead i m taking my cue from and shutting down reprezent zent"
neutral,"playing at the haven tonight with cassandra wilcox patrick bell ben bloss bucket of nails doors are at pm under"
neutral,"day off with nothing to do"
negative,"awh thats not good get better soon"
positive,"thanks they re both so cute havent been home for many years so havent seen them in person"
negative,"nooooooo not the receipt don t break my heart"
positive,"that s a relief i feel better knowing it s hereditary have fun"
negative,"justin is so warm it makes me worry when they have a high fever and i go to sleep"
neutral,"is poolside bowling toniht maybe back to work tomorrow"
positive,"gooooooood morning campers and happy mother s day"
positive,"o goodness i havn t heard it i lovelovelove her old stuff though the overture the underscore is the best album i think"
negative,"alas the best i can offer is a small pony and a rowing boat"
negative,"it just sucks that i m stuck in an office but i have you at selfridges to look forward too"
positive,"happy mother s day everyone"
negative,"even though it s only am on saturday morning it feels like the weekend is already over btw i m awake because i had a bad dream"
positive,"omg this one yesssss love this danny song"
positive,"omg so exctied"
positive,"i hope you have a nice sleep"
positive,"great thanks hun i did thr family thing this wknd too weeks today we hit the usa cant wait"
neutral,"oh you crazy kids and your stress try effed not effed followed by acceptance works wonders for the rest of the world"
positive,"good luck tonight on the big finale show"
positive,"loving the cairns clan"
neutral,"meditating on my plans for the weekend gotta work saturday"
neutral,"it s not good of our directors said we could go home and the other said back to work boo it was good while it lasted"
negative,"going to fold laundry and then hit the sack i have boring saturday evenings"
negative,"has research guilt as i spent the day feeling sorry for myself with a cold will need to spend significant time coding this weekend"
negative,"dreading the weekly grocery shopping"
neutral,"i spoke too soon still a nice evening but lots of broken cloud coming in from the south"
positive,"thank you i d share my sundae with you but it s really late and crane says we shouldn t tell people where we are"
negative,"pug just woke me from an incredible sleep"
neutral,"thanks for wishing me luck a couple of weeks ago on getting into a higher choir but i didn t make it"
positive,"its beautiful outside i wish i was in new york city but this area is pretty cool hip and trendy"
positive,"hopefully it don t go that far sometimes i feel like renouncing my roots"
neutral,"polaroid film today i hope so green tea yum i got a on my appearance for my job interview too much cleavage"
neutral,"watching little bear"
neutral,"right caffeine levels topped up few more hours revision then time mon the jenson"
positive,"had a neat mothers day nothing flash just some chillin time with my girls"
positive,"is taking a moment to reflect i want my annonymity back fb is it safe to say anything about someone else to another friend again"
positive,"hmm it s a miracle you re using twitter and it s fun so tweet"
neutral,"shelaaaaaaaa"
neutral,"though i have to admit that seems less less tempting who has time when there are more complete packages to be had"
positive,"says ha ha funny"
neutral,"not sure if this is good or bad news for you but you are listed as staff www thesixthaxis com staff"
negative,"it drained my energy"
negative,"if you re as lovesick as i am give me a call we should go bowling and complain about love"
positive,"yeah that s trueee i can t wait till the tour dvd comes out that tour was so epic and the backstage material is hilarious"
negative,"trying to straighten my hair but it s too effing hot in here also i need food"
neutral,"ricardo road movies indies rule haha"
neutral,"no offense taken just one of my many controversial views i guess"
neutral,"why do so many ppl on mile have ashy elbows"
positive,"i love my daddy but i don t want to go to his house today"
positive,"had such a great weekend glad it s sunny out today"
positive,"you know you love it stat k"
negative,"i really really hate biology uu"
neutral,"i always told my kids that i see and hear everything so mind your manors so i guess that proved it to him"
negative,"hey you all suck its anybody on there s im so bored common answear me"
negative,"i m tired i think i m becoming too old to go out"
neutral,"love you loads hun hot weather gutted i aint with you now chillaxing but we got tomoz xxxx"
neutral,"on my way to ft knox myloc me zyg"
negative,"what a burden abit of a fail lunch with dan"
negative,"i know i shouldn t be saying this but it i m as hell"
negative,"my new dress looks sort of horrible twitpic com mdc"
negative,"on another note geodefense easy down onwards to the medium maps where a whole other world of pain awaits my exploration"
neutral,"seeing lots of my fb friends are friending or becoming fans of zoozoo voda s new face after the pug even ilike"
positive,"hoping my mom likes her pamper gifts i sent her"
neutral,"new twitter coolness conversations with neighbors is gd ybd during a thunderstorm"
positive,"twitpic com wlx very pretty janette i have that exact same hey monday band and its on the same arm o"
positive,"i decided that myspacee is wayy better"
neutral,"i read some pretty awesome web comics today and there s nothing really good on woot today myloc me gf"
neutral,"at yvr fog delay is in sfo so we can t leave yet"
negative,"ugh have to report again monday"
negative,"this really hurts and this really sucks i don t know what i can do to fix all this seriously"
negative,"okay whats up with twitter my laptop is completely broke and now my computer is acting up so i dont reckon i will be on for t"
neutral,"laurie sorry to hear about a horrible weekend it can only get better keep smiling"
positive,"awww don t be sad we ll download a copy for you"
negative,"dreaming what miley s gonna quit hannah montana i don t wanna believe it"
negative,"there s only one thing i hate about friends and dats when they move skl they forget about yuu"
neutral,"not yet i hope to check it out this week"
positive,"my body isnt itching anymore"
positive,"i can be a good girl at school today i was i did it yayy"
positive,"i finally found the perfect matte lcd cleaner i nix screen cleaner ftw"
positive,"sweet make sure to put some in your bag for me"
positive,"oh joy we have the elmo potty video too"
negative,"the newest versions are not any better"
neutral,"beats the heat with cool guava juice in handi water"
neutral,"re chocolate thing"
neutral,"my hsbc savings apy dropped to sort of feeling like pulling out all my money and keeping it underneath my mattress"
neutral,"you know the nds torrent file for it and i am guessing u have gh mettallica christine brought it today for the ps"
neutral,"now only with windows"
neutral,"hey hey some else has twitter"
positive,"navarro i wish this area offered chinese food delivery"
negative,"just got in a bit of a car accident poor patrick"
neutral,"yes that s what i said"
neutral,"big news but i don t know if i can share it"
negative,"twitpic com uor went on a really long cycle ride with my mum brothers and my bff han today my bum aches now"
negative,"and my other peep got onto a game site who i will never see again"
neutral,"oh now it doesn t need updating all of a sudden ok will get dressed anyway"
neutral,"on wednesday green day will perform their new single know your enemy at tvtotal tr im kpdx"
neutral,"the stars are out where were you when i needed you"
neutral,"borgellaj you know what they re your cats"
neutral,"am i the next blumenthal"
negative,"oh that sucks tell your dh to act like a grown up maybe i d be stressed too"
positive,"days till birthday i just hope the weathers good and it best be good on thursday and friday otherwise il scream happy b day keiron"
negative,"i have started to fear weekends since joining german classes"
positive,"awww so that s him nice attempt at hiding from the camera"
positive,"hehe nice try"
positive,"way too many people indeed i only recognize the chinese guy lol"
neutral,"hahaha yes dey dooo boston legal tha fat old man is funny tha one that was naked ina pink gown lol"
positive,"just took over the most endorsed spot on twindexx com thanks to the endorsement by"
neutral,"i doubt i will tho twit pic sumthin"
neutral,"is playing uno plurk com p rprl"
positive,"yay i can t wait to read it"
negative,"burning time at wacha"
neutral,"gods sake it isn t even your birthday yet i need a cool job like that"
neutral,"me court"
positive,"thank you sooooo much for my snoopy t shirt i love it to bits it s a perfect fit just got it this morning peace"
neutral,"is now going to the hairdressers instead of running due to rain"
neutral,"photo thelovelybones i spy jonas brothers and demi lovato omg d ahhh yea d movie premire tumblr com xbbqyxe"
positive,"i love thank you so much for saying hi to jenn laura yesterday in arcadia my friend shannon surprised me w the vid"
neutral,"see most people didn t like deadpool cause it wasn t true to the comics i m guessing you like ryan reynolds"
neutral,"no actually it gets rid of the bacteria and they thaw out nicely"
neutral,"that s some serious steve why didn t you send me pictures or call me you know i love a good yard sale"
positive,"yay it s friday hold on i have to work tomorrow"
neutral,"back in sj star trek tonight at pm at cinelux on almaden"
negative,"life sucks if ur not having fun"
positive,"omg yes but i have to get ready for work early tonight i have payroll distribution duty"
neutral,"hello bank holiday monday hello revision"
negative,"darealest hehe hell i m finna qet to drankin damnit"
neutral,"going back to my house to pick up some dvds for bapang and pick dito s up but forgot to pick up other dvds for dito so i have to go back"
negative,"holy i am exhausted resting up so i can go see wolverine later"
neutral,"i cant do anything"
positive,"thats charmingly funny"
negative,"is still missing her husband i really want him home"
negative,"business or pleasure will keep my eye out for anything you re just missing a moondog concert tomorrow night"
neutral,"actually i meant motorbike not much touring but i commute when possible about min roundtrip so it s kinda like touring"
positive,"morning twitterbugs nothing like a loooooooooong lie in"
neutral,"could barely sleep last night ugh anyways good luck with finals everybody don t rush through your tests lol"
positive,"cordon lol that split second of peace is truly amazing"
neutral,"we can compare horror stories mate lol"
neutral,"snuggles you back everyones telling me to get over it but ive had her years x"
neutral,"my internet service has been acting strange after the earthquake just found out that the submarine fiber optics cable got damaged"
positive,"dinner with ali tonight celebrating her first day at the new job will be near trader joe s might just have to stop in"
neutral,"no it s people you are recommending that others follow like followfriday only with pics"
negative,"is back from a very long day out at naz gunna crash up tomorrow for mothers day editing photos from today hangin with my mom etc"
negative,"just wrote another song but i ran out of ideas so this one is a bit"
neutral,"did you know if you want to stay cool all day use a shower gel or bath wash with peppermint in it"
positive,"all moved in to our new apartment so exciting"
negative,"unfortunately that s how it usually goes in answer to yesterday i m okay things may be looking up miss talking to you"
negative,"i feel like a truck just hit me too i also resemble a man hit by a truck"
negative,"i miss him soooo much not gonna see him for months"
neutral,"heya hour famine starts on may nd are you gonna take part"
negative,"the balance is unfortunately i havent been able to find a card that has a limit high enough to transfer the whole thing"
positive,"not at work today i have my car back she is perfect going random shopping later"
neutral,"my girl needs a hug she lost here cell phone"
negative,"unfortunately i didn t see any of that spreading of poo"
positive,"oh i see so it s like morning there right happy breakfast thumbs up"
neutral,"we re running out of things to tweet to you wish we could get your reply come to the philippines tweeet"
positive,"yeah i know they are annoying with that but it s such good promo i lost some contacts for business in there"
positive,"hehe you re an expert now eh"
negative,"i think the rain killed my phone"
positive,"that is the best sticker ever also i dig your hair it s gotten long since i ve seen you last"
neutral,"kritt gps location bit ly spws here i am"
negative,"im writing an exam on a saturday that should be illegal where s my weekend"
neutral,"at nosely safari park with leah"
positive,"happy mother s day to ur mom i hope she has a wonderful day"
neutral,"on train with at least two gaggles of teenagers sitting the commuters squished standing in the back at least the teenagers let me sit"
neutral,"gotta terabyte of space to store movies"
neutral,"happy birthday great grandmother bad news on a good day but ame is living"
neutral,"tropical depression heading east mrsal scared this one off welcome to start of hurricane season still looking more fl subs"
neutral,"doing chemo"
positive,"heh thanks for that adorable plug cough more info at www samstephens com cough cough"
positive,"such a fun night with bekah just talkin and stuff wuv her"
neutral,"cordon lol you re welcome"
negative,"headache headache go away come again another day"
positive,"is making everything fabulous tonight"
neutral,"the life of a college stay at home mom delay in the bash bit ly cnyhp"
negative,"i need to get away i wish i had money to go travel for a bit i miss my east coast friends"
positive,"hella worth it even if you don t need the full now"
neutral,"lol ebay you laugh now juuuuuust wait"
positive,"that s a lot of messages from him how sweet and yeah sayang"
positive,"loved it would never have thought he was into the icarly version of beanie babies xd"
negative,"it is so annoying when she starts typing on her computer in the middle of the night"
negative,"ouch i used to hate it when i did that and then there are the irate callers who were trying to record getting p ed etc"
negative,"yes its finally friday and im stuck doing projects"
neutral,"getting ready to head out to camp allen unless somethings changed that means no phone service for about hours"
positive,"glad you could make it"
neutral,"going to the gym early trying to get back in shape again my husb got me a gift cert to swim w dolphins for my bd need muscles"
neutral,"exactly weeks left in sigma"
negative,"life just isn t fair and i feel"
negative,"i dont feel good at all fuckkk"
positive,"happy mother s day"
positive,"happy christmas no wait what is it again happy m easels day no but seriously happy mothers day lmao"
neutral,"on what"
positive,"hope you ve reviewed them on my site snipr com hble"
neutral,"has just arrived in singapore"
positive,"having a leatherman is a must really for anybody you never know when you might need one it gets the job done"
neutral,"i m still recouperating from the holiday weekend wow i ve never been sunburnt before this really hurts"
negative,"my generation is too apathetic to party down in the desert knows how to have fun and my age group is generation myspace"
neutral,"lol sunny and yesterday igloo melted attacked by bushes recovering today how s things in chocolateland"
positive,"off have a good star wars day fonz day dancing taco day whatever you celebrate it s all good"
neutral,"going drinking tonight drinking away the blues"
negative,"bruise on knee will make it hard to skate tomorrow"
neutral,"my mom said i eat a lot"
positive,"good lord man i recommend the dark stormy at casablanca"
neutral,"wasn t that mother song so funny so wrong but so funny i heart"
positive,"junk food and movies in a tshirt and sweats the only way tonight would be better is if i had someone to hang with"
negative,"i miss my boo on another note im soready for this game to come on tonight fox grill anyone"
neutral,"welcome my first german follower my mother hermine is from the sudetenland and came to sweden as a refugee in"
positive,"ready for eastenders going to be a good one then the last bgt semi final final tomorrow night though exciting stuff"
neutral,"it s under community i can t see it myself but one of the moderators niandra told me it was there"
neutral,"peabody i m pretty sure we got sent home a couple of times too tis the week to remember mary anto s granny the love is all around"
negative,"yeah sucks eh"
neutral,"pinkpawsforlife org pets get cancer too"
positive,"would really like to not be at work and instead taking a nap"
positive,"party was awesome soooo tired bye ps happy momma s day"
neutral,"thanks for following me but who are you hmmmm twitter back ox"
positive,"pgpm student from where i myself was a pgpm student about years back i wish i could stay one"
negative,"oh don t spoil my fun lol"
neutral,"im going in now it looks like the sun has gone"
negative,"my heads spinning from math started to dream in formulas not good"
positive,"hey thats good my daughter s still asleep and son is drawing better feed him v soon"
positive,"past experiences of being a redhead eg discrimination or even just general info bout gingers in society it all helps"
neutral,"aww sorry for both of you may the lord give you strength and rest today"
positive,"great cant eve locate my phone there goes down the drain"
positive,"ross if you look at the js code in facebook you will notice a few js functions nahh just kidding a buddy told me"
neutral,"is very cold"
neutral,"hanging out at school last day for seniors"
positive,"happy star wars day may the fourth be with you"
positive,"thanks hon project bra starts today"
neutral,"i hope he is ok too i miss him and the doc better not be a douchenozzle ill be one right back"
positive,"browsing digital art tutorials like those found at henning s site bit ly wjga refreshing my knowledge and then my skills"
positive,"days of frisbee three nights of partying and sprained ligaments can t imagine a better long weekend"
negative,"i had mailed for something you got the e mail i didn t which should probly mean i won t get it"
neutral,"spent some time exploring atlas and hercules craters re finding things in uma oph ser caput saturn w a fogged eyepiece home by a"
neutral,"daarling haha yah it s walking distance from my house mission tiki drive in haha every summer we go like every weekend"
neutral,"there it is postieeee andshehopes blogspot com kewpie html"
neutral,"good i m glad you got there i had no to come talk a walk with lol me becky holcomb are the only s here again lol"
negative,"fml today sucks i just hope the dance will bring my soul up i pray but im still sad i hateee todayyyyyy"
positive,"i really wish i could"
positive,"sending you love on mother s day and wishing you more happiness in the days ahead"
neutral,"avoided cinder blocks safe in ny area but dantas and porky upset beavs gone"
positive,"welcome to everyone playerstation it is now live on twitter www playerstation it"
positive,"law week is gonna go the off so excited"
neutral,"i look like schuhz and arabyrd now"
negative,"problem is flash isnt gpu accelerated the atom can t play youtube hd or hulu hd fullscreen big deal with plex"
positive,"working security for the club tonight first time working it in about a month should be interesting oh and hi kelsenator"
positive,"taylor swift s you belong with me is so amazing love the mv"
positive,"illy s note in the book from one geek to another keep up the good work sigh he is missed and he was great for espresso"
positive,"rofl even if i kept insurance and payments under im still like meh good thing i applied for a day job pasy mo"
negative,"and i just saw something real sad on my lunch a dog with two broken back legs"
neutral,"actually people were more decisive than that"
neutral,"you know you can read almost all your tweets as some sort of disgusting euphamism it s quite fun"
neutral,"can t believe i m leaving this place tomorrow"
negative,"this is gonna sound really sad depressing but i really really miss my uncle sam"
positive,"too much details but glad he is better"
positive,"d he s a lucky baby he has a wonderful family do u know when u could take him at home"
neutral,"anekie ok darl i will suggest you to the mua tracie weaver as she ll be making the decision"
positive,"everyone loves u sarah not just the tweeters the today show couldnt stop raving about your beautifulness"
negative,"mean people suck"
positive,"yeah jimmy fallon is back to do a skit yay"
negative,"am hubby s alarm song playing was blame it on the alcohol of course i couldn t get back to sleep after cause thinking of joe on cruise"
neutral,"ur supposed to be in bk tho"
positive,"funniest desktop ever mobypicture com eeij this way i can see my collegue"
negative,"i guess it ll work under fusion otherwise you ll have to boot directly to vista just to do some online banking which sucks"
positive,"yay i can give you a lesson tomorrow at church"
neutral,"working on a layout my page prom dress is almost done"
negative,"i m just starting to feel really panicky and anxious that something bad has happened cos it seems like it s been ages"
neutral,"twitpic com jk hey gi look at this pic of you and frankie that i took at the southend gig"
positive,"pool alcohol a cute band couldn t ask for more on a saturday night twitpic com wrr"
neutral,"uup morning off to school see ya"
neutral,"boffert"
positive,"i think they play michael buble in heaven he s that great"
neutral,"mexican that s what i m craving"
neutral,"at work with a swollen face thank god it s kohls though i m feelin fat flip flops are about to break annnnd i get my hair done tonight"
negative,"i am afraid you ve had a bit of a as the last two recommendations aren t available in the uk"
positive,"so far with the exception of the rain my morning is great but i won t let it dampen my day"
negative,"internet on trains is awful"
negative,"hey u forgot me"
neutral,"i think it s going to be a lonnngg weekend but not the day kind"
positive,"you the the queen of sass oh scenie"
neutral,"did you see star trek yet i ve seen it twice already i didn t like it the first time the second time was way better hahaha"
positive,"hi holly i ll volunteer to try it out first for u hope ur having a fab weekend xoxox"
neutral,"i used to be i ve done a few different jobs in yj currently i m a court officer"
negative,"i m starting to feel depressed with this hurricane talk i m on the front lines down here"
positive,"so many good deals you guys have a conspiracy to steal all my money"
negative,"hope the train remembers the way they can go a bit loopy on bank holidays"
negative,"elliott claims steak and shake has been doing this for months not exciting anymore"
positive,"is still amazed at the awesomness of last night the discussion was great looking forward to a great week only days until i go home"
negative,"running errands with geeta feeling like i have the plague"
neutral,"ok i want to quit my job"
negative,"healthy food is not helping my hangover"
neutral,"twitpic com wl im hard core you just dont know it"
neutral,"i just changed the backgroung but now i have no profile ppicture"
negative,"i am very sad because i have gone on the show mcfly fan i am of them"
positive,"what a great project wish i could have done that with dd she s too old now"
positive,"it s not a test to find cancer it s just some stuff in regards to in this case positive results would be a good thing"
negative,"ive tried and tried in the past to learn cockney but sadly its near impossible to find books and things on it over here"
positive,"wow sounds heavenly we re just doing a quick drive to north carolina i can t wait"
neutral,"we re home now"
negative,"my ipod died not running until it is charged"
negative,"looks like another sleepless night dedicated to homework sorry in advance ms chapman"
neutral,"hmm do not feel like writing monthly reports tonight probably should get started though"
neutral,"is school over yet im ready for vacations already"
positive,"i love it when it rains on me when im golfing"
negative,"have to break my no work in weekend rule so much overloaded with work aargh hate it"
negative,"wow one year today luc bourdon was killed doesn t seem that long ago"
positive,"thank you and i don t care for the look on his face"
positive,"good evening kind sir bows blip fm zzv"
neutral,"also i am technologically challenged and have a cell phone that only makes phone calls can t tweetbueat"
neutral,"x hah well at least we are not saying tory is a fatty watty"
negative,"sorry i missed you saw you across the way i was busy taking pix abt came to meet u but u were gone"
